,World Bank Indebtedness Classifications,,,,,,,,,,,,,,,,
,(presented in Global Development Finance),,,,,,,,,,,,,,,,
,"As of April 2006, the World Bank no longer classifies countries by indebtedness level.",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,Severely indebted (SIN),,,,,,,,,,,,,,,,
,Moderately indebted (MIN),,,,,,,,,,,,,,,,
,Less indebted (LIN),,,,,,,,,,,,,,,,
,Not classified by indebtedness (NIN),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,Year:,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005
,,,,,,,,,,,,,,,,,
AFG,Afghanistan,NIN,NIN,NIN,NIN,NIN,SIN,SIN,SIN,SIN,SIN,SIN,SIN,SIN,SIN,NIN,NIN
ALB,Albania,..,..,NIN,NIN,SIN,MIN,MIN,LIN,LIN,LIN,LIN,LIN,LIN,LIN,LIN,LIN
DZA,Algeria,MIN,MIN,SIN,SIN,SIN,MIN,SIN,MIN,SIN,MIN,MIN,MIN,MIN,LIN,LIN,LIN
ASM,American Samoa,NIN,NIN,NIN,NIN,NIN,NIN,NIN,NIN,NIN,NIN,NIN,NIN,NIN,NIN,NIN,NIN
AND,Andorra,..,..,NIN,NIN,NIN,NIN,NIN,NIN,NIN,NIN,NIN,NIN,NIN,NIN,NIN,NIN
AGO,Angola,NIN,NIN,MIN,SIN,SIN,SIN,SIN,SIN,SIN,SIN,SIN,SIN,SIN,SIN,SIN,SIN
ATG,Antigua and Barbuda,NIN,NIN,NIN,NIN,NIN,LIN,LIN,LIN,LIN,LIN,LIN,LIN,LIN,NIN,NIN,NIN
ARG,Argentina,SIN,SIN,SIN,SIN,SIN,SIN,SIN,SIN,SIN,SIN,SIN,SIN,SIN,SIN,SIN,SIN
ARM,Armenia,..,..,..,..,LIN,LIN,LIN,LIN,LIN,LIN,LIN,MIN,LIN,LIN,LIN,LIN
ABW,Aruba,NIN,NIN,NIN,NIN,NIN,NIN,NIN,NIN,NIN,NIN,NIN,NIN,NIN,NIN,NIN,NIN
AUS,Australia,NIN,NIN,NIN,NIN,NIN,NIN,NIN,NIN,NIN,NIN,NIN,NIN,NIN,NIN,NIN,NIN
AUT,Austria,NIN,NIN,NIN,NIN,NIN,NIN,NIN,NIN,NIN,NIN,NIN,NIN,NIN,NIN,NIN,NIN
AZE,Azerbaijan,..,..,..,..,NIN,LIN,LIN,LIN,LIN,LIN,LIN,LIN,LIN,LIN,LIN,LIN
BHS,"Bahamas, The",LIN,NIN,NIN,NIN,NIN,NIN,NIN,NIN,NIN,NIN,NIN,NIN,NIN,NIN,NIN,NIN
BHR,Bahrain,NIN,NIN,NIN,NIN,NIN,LIN,LIN,LIN,LIN,LIN,LIN,LIN,LIN,NIN,NIN,NIN
BGD,Bangladesh,MIN,MIN,MIN,MIN,MIN,MIN,MIN,MIN,MIN,MIN,MIN,MIN,LIN,LIN,LIN,LIN
BRB,Barbados,LIN,NIN,NIN,LIN,LIN,LIN,LIN,LIN,LIN,LIN,LIN,LIN,NIN,NIN,NIN,LIN
BLR,Belarus,..,..,..,..,LIN,LIN,LIN,LIN,LIN,LIN,LIN,LIN,LIN,LIN,LIN,LIN
BEL,Belgium,NIN,NIN,NIN,NIN,NIN,NIN,NIN,NIN,NIN,NIN,NIN,NIN,NIN,NIN,NIN,NIN
BLZ,Belize,LIN,LIN,LIN,LIN,LIN,LIN,LIN,LIN,LIN,MIN,MIN,MIN,MIN,SIN,SIN,SIN
BEN,Benin,SIN,SIN,MIN,MIN,LIN,MIN,MIN,MIN,MIN,MIN,MIN,SIN,SIN,SIN,MIN,MIN
BMU,Bermuda,NIN,NIN,NIN,NIN,NIN,NIN,NIN,NIN,NIN,NIN,NIN,NIN,NIN,NIN,NIN,NIN
BTN,Bhutan,LIN,LIN,LIN,LIN,LIN,LIN,LIN,LIN,LIN,LIN,LIN,LIN,LIN,MIN,SIN,SIN
BOL,Bolivia,SIN,SIN,SIN,SIN,SIN,SIN,SIN,SIN,SIN,SIN,SIN,SIN,MIN,MIN,LIN,MIN
BIH,Bosnia and Herzegovina,..,..,..,..,..,NIN,NIN,NIN,NIN,NIN,SIN,SIN,MIN,LIN,LIN,LIN
BWA,Botswana,LIN,LIN,LIN,LIN,LIN,LIN,LIN,LIN,LIN,LIN,LIN,LIN,LIN,LIN,LIN,LIN
BRA,Brazil,SIN,SIN,SIN,SIN,SIN,SIN,SIN,SIN,SIN,SIN,SIN,SIN,SIN,SIN,SIN,SIN
BRN,Brunei Darussalam,..,..,NIN,NIN,NIN,NIN,NIN,NIN,NIN,NIN,NIN,NIN,NIN,NIN,NIN,NIN
BGR,Bulgaria,NIN,NIN,SIN,SIN,SIN,SIN,SIN,SIN,SIN,SIN,SIN,SIN,MIN,MIN,MIN,SIN
BFA,Burkina Faso,LIN,LIN,LIN,LIN,LIN,LIN,LIN,MIN,SIN,SIN,SIN,MIN,MIN,SIN,MIN,MIN
BDI,Burundi,SIN,SIN,SIN,SIN,SIN,SIN,SIN,SIN,SIN,SIN,SIN,SIN,SIN,SIN,SIN,SIN
KHM,Cambodia,NIN,NIN,NIN,NIN,NIN,LIN,SIN,SIN,MIN,MIN,MIN,MIN,MIN,MIN,MIN,MIN
CMR,Cameroon,MIN,MIN,MIN,MIN,SIN,SIN,SIN,SIN,SIN,SIN,SIN,SIN,SIN,MIN,MIN,MIN
CAN,Canada,NIN,NIN,NIN,NIN,NIN,NIN,NIN,NIN,NIN,NIN,NIN,NIN,NIN,NIN,NIN,NIN
CPV,Cabo Verde,MIN,MIN,LIN,LIN,LIN,LIN,MIN,LIN,LIN,LIN,LIN,LIN,LIN,LIN,LIN,MIN
CYM,Cayman Islands,..,..,..,..,..,NIN,NIN,NIN,NIN,NIN,NIN,NIN,NIN,NIN,NIN,NIN
CAF,Central African Republic,MIN,MIN,MIN,MIN,SIN,SIN,SIN,SIN,SIN,SIN,SIN,SIN,SIN,SIN,SIN,SIN
TCD,Chad,LIN,LIN,LIN,LIN,LIN,MIN,MIN,MIN,MIN,MIN,MIN,MIN,SIN,SIN,SIN,SIN
CHI,Channel Islands,NIN,NIN,NIN,NIN,NIN,NIN,NIN,NIN,NIN,NIN,NIN,NIN,NIN,NIN,NIN,NIN
CHL,Chile,SIN,SIN,MIN,MIN,MIN,MIN,MIN,MIN,MIN,MIN,MIN,MIN,MIN,MIN,MIN,MIN
CHN,China,LIN,LIN,LIN,LIN,LIN,LIN,LIN,LIN,LIN,LIN,LIN,LIN,LIN,LIN,LIN,LIN
COL,Colombia,MIN,MIN,MIN,MIN,MIN,MIN,MIN,MIN,MIN,MIN,MIN,MIN,MIN,MIN,MIN,MIN
COM,Comoros,SIN,SIN,MIN,MIN,MIN,MIN,MIN,MIN,MIN,MIN,SIN,SIN,SIN,SIN,SIN,SIN
COD,"Congo, Dem. Rep.",SIN,SIN,SIN,SIN,SIN,SIN,SIN,SIN,SIN,SIN,SIN,SIN,SIN,SIN,SIN,SIN
COG,"Congo, Rep.",SIN,SIN,SIN,SIN,SIN,SIN,SIN,SIN,SIN,SIN,SIN,SIN,SIN,SIN,SIN,SIN
CRI,Costa Rica,SIN,SIN,MIN,MIN,MIN,MIN,LIN,LIN,LIN,LIN,LIN,LIN,LIN,LIN,LIN,LIN
CIV,Côte d'Ivoire,SIN,SIN,SIN,SIN,SIN,SIN,SIN,SIN,SIN,SIN,SIN,SIN,SIN,SIN,SIN,SIN
HRV,Croatia,..,..,..,..,NIN,LIN,LIN,LIN,LIN,LIN,LIN,LIN,MIN,MIN,MIN,SIN
CUB,Cuba,..,..,NIN,NIN,NIN,SIN,SIN,SIN,SIN,SIN,SIN,SIN,SIN,SIN,NIN,NIN
CYP,Cyprus,LIN,NIN,LIN,LIN,NIN,NIN,NIN,NIN,NIN,NIN,NIN,NIN,NIN,NIN,NIN,NIN
CZE,Czechia,..,..,..,..,..,LIN,LIN,LIN,LIN,LIN,LIN,LIN,LIN,LIN,LIN,LIN
DNK,Denmark,NIN,NIN,NIN,NIN,NIN,NIN,NIN,NIN,NIN,NIN,NIN,NIN,NIN,NIN,NIN,NIN
DJI,Djibouti,..,..,LIN,LIN,LIN,LIN,LIN,LIN,LIN,LIN,LIN,LIN,LIN,LIN,LIN,LIN
DMA,Dominica,NIN,NIN,LIN,LIN,LIN,LIN,LIN,LIN,LIN,MIN,LIN,LIN,LIN,MIN,SIN,SIN
DOM,Dominican Republic,MIN,MIN,MIN,MIN,MIN,MIN,MIN,LIN,LIN,LIN,LIN,LIN,LIN,LIN,LIN,LIN
ECU,Ecuador,SIN,SIN,SIN,SIN,SIN,SIN,SIN,SIN,SIN,SIN,SIN,MIN,SIN,SIN,SIN,SIN
EGY,"Egypt, Arab Rep.",MIN,SIN,SIN,SIN,SIN,MIN,MIN,MIN,LIN,LIN,LIN,LIN,LIN,LIN,LIN,LIN
SLV,El Salvador,LIN,LIN,MIN,LIN,LIN,LIN,LIN,LIN,LIN,LIN,LIN,LIN,LIN,LIN,LIN,MIN
GNQ,Equatorial Guinea,SIN,SIN,SIN,SIN,SIN,SIN,SIN,SIN,SIN,MIN,MIN,LIN,LIN,LIN,LIN,LIN
ERI,Eritrea,..,..,..,..,NIN,NIN,NIN,NIN,LIN,LIN,LIN,LIN,LIN,LIN,MIN,SIN
EST,Estonia,..,..,..,..,LIN,LIN,LIN,LIN,LIN,LIN,LIN,MIN,MIN,MIN,SIN,SIN
SWZ,Eswatini,LIN,LIN,LIN,LIN,LIN,LIN,LIN,LIN,LIN,LIN,LIN,LIN,LIN,LIN,LIN,LIN
ETH,Ethiopia,MIN,MIN,SIN,SIN,SIN,SIN,SIN,SIN,SIN,SIN,SIN,SIN,SIN,SIN,SIN,MIN
FRO,Faeroe Islands,NIN,NIN,NIN,NIN,NIN,NIN,NIN,NIN,NIN,NIN,NIN,NIN,NIN,NIN,NIN,NIN
FJI,Fiji,LIN,LIN,LIN,LIN,LIN,LIN,LIN,LIN,LIN,LIN,LIN,LIN,LIN,LIN,LIN,LIN
FIN,Finland,NIN,NIN,NIN,NIN,NIN,NIN,NIN,NIN,NIN,NIN,NIN,NIN,NIN,NIN,NIN,NIN
FRA,France,NIN,NIN,NIN,NIN,NIN,NIN,NIN,NIN,NIN,NIN,NIN,NIN,NIN,NIN,NIN,NIN
PYF,French Polynesia,..,..,NIN,NIN,NIN,NIN,NIN,NIN,NIN,NIN,NIN,NIN,NIN,NIN,NIN,NIN
GAB,Gabon,MIN,MIN,MIN,MIN,MIN,MIN,SIN,SIN,SIN,SIN,SIN,SIN,SIN,SIN,SIN,SIN
GMB,"Gambia, The",MIN,MIN,LIN,MIN,MIN,MIN,MIN,MIN,MIN,MIN,MIN,MIN,MIN,SIN,MIN,SIN
GEO,Georgia,..,..,..,..,LIN,LIN,LIN,LIN,MIN,MIN,MIN,MIN,LIN,LIN,MIN,LIN
DEU,Germany,NIN,NIN,NIN,NIN,NIN,NIN,NIN,NIN,NIN,NIN,NIN,NIN,NIN,NIN,NIN,NIN
GHA,Ghana,SIN,SIN,SIN,SIN,SIN,SIN,SIN,SIN,SIN,SIN,MIN,MIN,MIN,MIN,MIN,LIN
GRC,Greece,MIN,NIN,NIN,NIN,NIN,MIN,MIN,MIN,NIN,NIN,NIN,NIN,NIN,NIN,NIN,NIN
GRL,Greenland,NIN,NIN,NIN,NIN,NIN,NIN,NIN,NIN,NIN,NIN,NIN,NIN,NIN,NIN,NIN,NIN
GRD,Grenada,LIN,LIN,LIN,LIN,LIN,LIN,LIN,LIN,LIN,LIN,LIN,LIN,LIN,MIN,MIN,SIN
