old_name,new_name,iso_code,reason
Czech Republic,Czechia,CZE,Official name change
Turkey,Turkiye,TUR,Official name change (2022)
Cape Verde,Cabo Verde,CPV,RSF standardization
Ivory Coast,Cote d'Ivoire,CIV,RSF standardization
Lao People's Democratic Republic,Laos,LAO,RSF shortening
Islamic Republic of Iran,Iran,IRN,RSF shortening
Russian Federation,Russia,RUS,RSF shortening
Syrian Arab Republic,Syria,SYR,RSF shortening
The Democratic Republic Of The Congo,DR Congo,COD,RSF shortening
Congo,Congo-Brazzaville,COG,RSF disambiguation
Brunei Darussalam,Brunei,BRN,RSF shortening
Bosnia and Herzegovina,Bosnia-Herzegovina,BIH,Punctuation standardization
Democratic People's Republic of Korea,North Korea,PRK,RSF shortening
Northern Cyprus,Northern Cyprus,CXX,Turkish Republic of Northern Cyprus
Northern Cyprus (Occupied),Northern Cyprus,CXX,Turkish Republic of Northern Cyprus
Cyprus North,Northern Cyprus,CXX,Turkish Republic of Northern Cyprus (2004-2022 label)
