ISO;Score;Rank;Political Context;Rank_Pol;Economic Context;Rank_Eco;Legal Context;Rank_Leg;Social Context;Rank_Soc;Safety;Rank_Saf;Zone;Country_EN;Country_FR;Country_ES;Country_AR;Country_FA;Year (N);Rank N-1;Rank evolution
NOR;9265;1;9489;1;9038;1;9223;1;9371;2;9203;11;Europe - Asie centrale;Norway;Norvège;Noruega;النرويج;نروژ;2022;1;0
DNK;9027;2;9434;2;8367;3;8918;4;9117;9;9297;7;Europe - Asie centrale;Denmark;Danemark;Dinamarca;الدنمارك;دانمارک;2022;4;2
SWE;8884;3;9196;3;8766;2;9027;3;9018;12;8414;32;Europe - Asie centrale;Sweden;Suède;Suecia;السويد;سوئد;2022;3;0
EST;8883;4;9111;5;8197;6;8787;5;90;13;932;6;Europe - Asie centrale;Estonia;Estonie;Estonia;إستونيا;استونی;2022;15;11
FIN;8842;5;904;6;8203;5;8664;9;9077;10;9226;10;Europe - Asie centrale;Finland;Finlande;Finlandia;فنلندا;فنلاند;2022;2;-3
IRL;883;6;8924;9;7908;8;8509;14;925;4;9558;2;Europe - Asie centrale;Ireland;Irlande;Irlanda;أيرلندا;ایرلند;2022;12;6
PRT;8707;7;9186;4;7741;9;8421;18;9314;3;8873;18;Europe - Asie centrale;Portugal;Portugal;Portugal;البرتغال;پرتغال;2022;9;2
CRI;8592;8;8162;17;7296;11;8772;6;925;4;9478;3;Amériques;Costa Rica;Costa Rica;Costa Rica;كوستاريكا;کاستاریکا;2022;5;-3
LTU;8414;9;8701;11;7216;13;8446;16;8971;16;8737;23;Europe - Asie centrale;Lithuania;Lituanie;Lituania;ليتوانيا;لیتوانی;2022;28;19
LIE;8403;10;8036;20;6878;19;8474;15;898;14;9646;1;Europe - Asie centrale;Liechtenstein;Liechtenstein;Liechtenstein;ليختنشتاين;لیختن‌اشتاین;2022;23;13
NZL;8354;11;9015;7;7526;10;7478;54;8975;15;8776;21;Asie-Pacifique;New Zealand;Nouvelle-Zélande;Nueva Zelanda;نيوزيلاندا;زلاند نو;2022;8;-3
JAM;8335;12;7485;32;7194;14;8246;24;95;1;9252;8;Amériques;Jamaica;Jamaïque;Jamaica;جامايكا;جامائیکا;2022;7;-5
SYC;8333;13;8045;19;6913;18;8531;13;9025;11;915;13;Afrique;Seychelles;Seychelles;Seychelles;سيشيل;سی‌شل;2022;52;39
CHE;8272;14;90;8;6837;21;8099;29;8833;21;8592;27;Europe - Asie centrale;Switzerland;Suisse;Suiza;سويسرا;سويیس;2022;10;-4
ISL;8269;15;8621;13;6556;28;8268;23;875;23;915;13;Europe - Asie centrale;Iceland;Islande;Islandia;أيسلندا;ایسلند;2022;16;1
DEU;8204;16;8703;10;8007;7;8708;8;8947;17;6658;91;Europe - Asie centrale;Germany;Allemagne;Alemania;ألمانيا;آلمان;2022;13;-3
TLS;8189;17;8545;14;6871;20;8596;11;7567;65;9365;5;Asie-Pacifique;East Timor;Timor oriental;Timor Oriental;تيمور الشرقية;تیمور شرقی;2022;71;54
NAM;8184;18;7297;37;698;17;8298;22;916;8;9184;12;Afrique;Namibia;Namibie;Namibia;ناميبيا;نامیبیا;2022;24;6
CAN;8174;19;8227;16;7117;16;8026;33;92;6;8299;37;Amériques;Canada;Canada;Canadá;كندا;کانادا;2022;14;-5
CZE;8054;20;7966;22;6156;36;8421;18;8844;20;8881;17;Europe - Asie centrale;Czech Republic;République tchèque;República Checa;جمهورية التشيك;جمهوری چک;2022;40;20
LUX;7981;21;8294;15;6633;27;7293;60;8871;19;8814;20;Europe - Asie centrale;Luxembourg;Luxembourg;Luxemburgo;لوكسمبورغ;لوکزامبورگ;2022;20;-1
