ISO;Score;Rank;Political Context;Rank_Pol;Economic Context;Rank_Eco;Legal Context;Rank_Leg;Social Context;Rank_Soc;Safety;Rank_Saf;Zone;Country_FR;Country_EN;Country_ES;Country_PT;Country_AR;Country_FA;Year (N);Rank N-1;Rank evolution;Score N-1;Score evolution
NOR;9518;1;9654;1;9246;1;9492;1;9598;1;9598;3;UE Balkans;Norvège;Norway;Noruega;Noruega ;النرويج;نروژ;2023;1;0;9265;2,53
IRL;8991;2;9391;2;8211;7;8255;19;9403;3;9694;2;UE Balkans;Irlande;Ireland;Irlanda;Irlanda ;أيرلندا;ایرلند;2023;6;4;883;1,61
DNK;8948;3;9195;4;8517;4;875;5;8778;17;95;5;UE Balkans;Danemark;Denmark;Dinamarca;Dinamarca ;الدنمارك;دانمارک;2023;2;-1;9027;-0,79
SWE;8815;4;9258;3;8608;3;8874;4;8864;14;8472;40;UE Balkans;Suède;Sweden;Suecia;Suécia ;السويد;سوئد;2023;3;-1;8884;-0,69
FIN;8794;5;9155;5;838;5;8486;11;8917;13;9035;23;UE Balkans;Finlande;Finland;Finlandia;Finlândia ;فنلندا;فنلاند;2023;5;0;8842;-0,48
NLD;87;6;8893;7;8908;2;903;3;8653;24;8018;67;UE Balkans;Pays-Bas;Netherlands;Países Bajos;Países Baixos ;هولندا;هلند;2023;28;22;7793;9,07
LTU;8679;7;88;9;7765;8;8453;12;8943;12;9433;8;UE Balkans;Lituanie;Lithuania;Lituania;Lituânia ;ليتوانيا;لیتوانی;2023;9;2;8414;2,65
EST;8531;8;8536;17;7675;10;8288;18;9075;9;9079;20;UE Balkans;Estonie;Estonia;Estonia;Estônia ;إستونيا;استونی;2023;4;-4;8883;-3,52
PRT;846;9;8632;13;7102;20;8438;13;8977;11;9148;16;UE Balkans;Portugal;Portugal;Portugal;Portugal ;البرتغال;پرتغال;2023;7;-2;8707;-2,47
TLS;8449;10;8188;20;7451;13;8302;15;8712;20;9593;4;Asie-Pacifique;Timor oriental;East Timor;Timor Oriental;Timor Leste ;تيمور الشرقية;تیمور شرقی;2023;17;7;8189;2,6
LIE;8447;11;8563;16;6993;23;8145;24;9091;7;9444;6;UE Balkans;Liechtenstein;Liechtenstein;Liechtenstein;Liechtenstein ;ليختنشتاين;لیختن‌اشتاین;2023;10;-1;8403;0,44
CHE;844;12;8742;10;7279;15;7795;37;9233;4;9152;15;UE Balkans;Suisse;Switzerland;Suiza;Suíça ;سويسرا;سويیس;2023;14;2;8272;1,68
NZL;8423;13;8969;6;7745;9;7862;35;8409;30;913;17;Asie-Pacifique;Nouvelle-Zélande;New Zealand;Nueva Zelanda;Nova Zelândia ;نيوزيلاندا;زلاند نو;2023;11;-2;8354;0,69
CZE;8358;14;8219;19;6552;28;8664;6;9129;6;9227;11;UE Balkans;Tchéquie;Czechia;Chequia;Chéquia;التشيك; چک;2023;20;6;8054;3,04
CAN;8353;15;8813;8;7222;17;8648;7;8826;15;8256;54;Amériques;Canada;Canada;Canadá;Canadá ;كندا;کانادا;2023;19;4;8174;1,79
