ISO;Score;Rank;Political Context;Rank_Pol;Economic Context;Rank_Eco;Legal Context;Rank_Leg;Social Context;Rank_Soc;Safety;Rank_Saf;Situation;Zone;Country_FR;Country_EN;Country_ES;Country_PT;Country_AR;Country_FA;Year (N);Rank N-1;Rank evolution;Score N-1;Score evolution
NOR;9189;1;9487;1;8984;1;895;2;9048;1;9474;7;Bonne situation;UE Balkans;Norvège;Norway;Noruega;Noruega ;النرويج;نروژ;2024;1;0;9518;-3,29
DNK;896;2;9411;2;8307;4;8882;3;869;5;9509;5;Bonne situation;UE Balkans;Danemark;Denmark;Dinamarca;Dinamarca ;الدنمارك;دانمارک;2024;3;1;8948;0,12
SWE;8832;3;9103;4;855;2;9016;1;8278;20;9212;22;Bonne situation;UE Balkans;Suède;Sweden;Suecia;Suécia ;السويد;سوئد;2024;4;1;8815;0,17
NLD;8773;4;8841;7;8409;3;8759;4;8734;4;9123;28;Bonne situation;UE Balkans;Pays-Bas;Netherlands;Países Bajos;Países Baixos ;هولندا;هلند;2024;6;2;87;0,73
FIN;8655;5;8905;6;809;5;8616;6;8452;14;9213;21;Bonne situation;UE Balkans;Finlande;Finland;Finlandia;Finlândia ;فنلندا;فنلاند;2024;5;0;8794;-1,39
EST;8644;6;8688;10;7677;8;8365;12;90;2;9488;6;Bonne situation;UE Balkans;Estonie;Estonia;Estonia;Estônia ;إستونيا;استونی;2024;8;2;8531;1,13
PRT;859;7;9151;3;7292;10;8379;10;8827;3;9303;15;Bonne situation;UE Balkans;Portugal;Portugal;Portugal;Portugal ;البرتغال;پرتغال;2024;9;2;846;1,3
IRL;8559;8;8986;5;77;7;8045;18;8661;6;9405;9;Bonne situation;UE Balkans;Irlande;Ireland;Irlanda;Irlanda ;أيرلندا;ایرلند;2024;2;-6;8991;-4,32
CHE;8401;9;8778;8;7232;11;7885;27;852;11;9592;4;Situation plutôt bonne;UE Balkans;Suisse;Switzerland;Suiza;Suíça ;سويسرا;سويیس;2024;12;3;844;-0,39
DEU;8384;10;8522;14;7763;6;8469;8;8238;22;8929;40;Situation plutôt bonne;UE Balkans;Allemagne;Germany;Alemania;Alemanha ;ألمانيا;آلمان;2024;21;11;8191;1,93
LUX;838;11;8774;9;7153;13;7756;34;8532;10;9683;1;Situation plutôt bonne;UE Balkans;Luxembourg;Luxembourg;Luxemburgo;Luxemburgo ;لوكسمبورغ;لوکزامبورگ;2024;20;9;8198;1,82
LVA;829;12;8442;15;7469;9;8029;19;8321;17;919;26;Situation plutôt bonne;UE Balkans;Lettonie;Latvia;Letonia;Letônia ;لاتفيا;لتوانی;2024;16;4;8327;-0,37
LTU;8173;13;8084;17;7072;15;8141;15;836;15;921;23;Situation plutôt bonne;UE Balkans;Lituanie;Lithuania;Lituania;Lituânia ;ليتوانيا;لیتوانی;2024;7;-6;8679;-5,06
CAN;817;14;8623;11;6635;21;8375;11;8238;22;8976;36;Situation plutôt bonne;Amériques;Canada;Canada;Canadá;Canadá ;كندا;کانادا;2024;15;1;8353;-1,83
LIE;8152;15;8555;12;6235;31;8484;7;7872;32;9616;2;Situation plutôt bonne;UE Balkans;Liechtenstein;Liechtenstein;Liechtenstein;Liechtenstein ;ليختنشتاين;لیختن‌اشتاین;2024;11;-4;8447;-2,95
BEL;8149;16;8196;16;7141;14;7949;24;8651;7;881;52;Situation plutôt bonne;UE Balkans;Belgique;Belgium;Bélgica;Bélgica ;بلجيكا;بلژیک;2024;31;15;7647;5,02
CZE;8014;17;8021;18;6258;30;8018;21;8516;12;9258;19;Situation plutôt bonne;UE Balkans;Tchéquie;Czechia;Chequia;Chéquia;التشيك; چک;2024;14;-3;8358;-3,44
ISL;8013;18;7994;20;651;24;7911;25;8328;16;9324;12;Situation plutôt bonne;UE Balkans;Islande;Iceland;Islandia;Islândia ;أيسلندا;ایسلند;2024;18;0;8319;-3,06
NZL;7972;19;8536;13;7208;12;7115;54;7976;29;9024;32;Situation plutôt bonne;Asie-Pacifique;Nouvelle-Zélande;New Zealand;Nueva Zelanda;Nova Zelândia ;نيوزيلاندا;زلاند نو;2024;13;-6;8423;-4,51
TLS;7892;20;7609;22;6536;23;7308;45;8571;9;9435;8;Situation plutôt bonne;Asie-Pacifique;Timor oriental;East Timor;Timor Oriental;Timor Leste ;تيمور الشرقية;تیمور شرقی;2024;10;-10;8449;-5,57
