ISO;Score 2025;Rank;Political Context;Rank_Pol;Economic Context;Rank_Eco;Legal Context;Rank_Leg;Social Context;Rank_Soc;Safety;Rank_Saf;Zone;Country_FR;Country_EN;Country_ES;Country_PT;Country_AR;Country_FA;Year (N);Rank N-1;Rank evolution;Score N-1;Score evolution
FIN;8718;5;8993;7;8054;4;8793;7;8387;12;9365;14;UE Balkans;Finlande;Finland;Finlandia;Finlândia ;??????;??????;2025;5;0;8655;0,63
EST;8946;2;9087;4;794;5;90;3;9161;1;9541;5;UE Balkans;Estonie;Estonia;Estonia;Estônia ;???????;??????;2025;6;4;8644;3,02
NLD;8864;3;8995;6;8385;2;8969;4;8805;3;9164;27;UE Balkans;Pays-Bas;Netherlands;Países Bajos;Países Baixos ;??????;????;2025;4;1;8773;0,91
SWE;8813;4;9007;5;8271;3;9002;2;8499;9;9286;18;UE Balkans;Suède;Sweden;Suecia;Suécia ;??????;????;2025;3;-1;8832;-0,19
LTU;8227;14;8076;17;6884;15;8323;18;8539;8;9312;16;UE Balkans;Lituanie;Lithuania;Lituania;Lituânia ;????????;???????;2025;13;-1;8173;0,54
DNK;8693;6;9113;3;7846;7;8678;8;8385;13;9443;8;UE Balkans;Danemark;Denmark;Dinamarca;Dinamarca ;????????;???????;2025;2;-4;896;-2,67
IRL;8692;7;913;2;7877;6;8149;24;8725;5;958;4;UE Balkans;Irlande;Ireland;Irlanda;Irlanda ;???????;??????;2025;8;1;8559;1,33
PRT;8426;8;8877;8;6583;20;8616;9;8674;6;9381;13;UE Balkans;Portugal;Portugal;Portugal;Portugal ;????????;??????;2025;7;-1;859;-1,64
CHE;8398;9;857;9;7321;9;8373;15;834;15;9386;12;UE Balkans;Suisse;Switzerland;Suiza;Suíça ;??????;?????;2025;9;0;8401;-0,03
CZE;8396;10;8464;11;6541;22;8822;6;8766;4;9387;11;UE Balkans;Tchéquie;Czechia;Chequia;Chéquia;??????; ??;2025;17;7;8014;3,82
NOR;9231;1;9622;1;8732;1;9196;1;9003;2;9603;2;UE Balkans;Norvège;Norway;Noruega;Noruega ;???????;????;2025;1;0;9189;0,42
LIE;8342;12;8023;18;6733;18;8916;5;8451;10;9587;3;UE Balkans;Liechtenstein;Liechtenstein;Liechtenstein;Liechtenstein ;??????????;????????????;2025;15;3;8152;1,9
LUX;8304;13;8334;12;6799;17;8087;28;8636;7;9662;1;UE Balkans;Luxembourg;Luxembourg;Luxemburgo;Luxemburgo ;?????????;??????????;2025;11;-2;838;-0,76
DEU;8385;11;8487;10;779;8;8472;11;8093;23;9082;35;UE Balkans;Allemagne;Germany;Alemania;Alemanha ;???????;?????;2025;10;-1;8384;0,01
LVA;8182;15;8307;13;7035;11;817;23;8195;17;9205;25;UE Balkans;Lettonie;Latvia;Letonia;Letônia ;??????;??????;2025;12;-3;829;-1,08
NZL;8137;16;7827;20;7215;10;8076;29;8353;14;9215;23;Asie-Pacifique;Nouvelle-Zélande;New Zealand;Nueva Zelanda;Nova Zelândia ;??????????;????? ??;2025;19;3;7972;1,65
ISL;8136;17;8224;15;6571;21;8112;25;8293;16;9482;7;UE Balkans;Islande;Iceland;Islandia;Islândia ;???????;??????;2025;18;1;8013;1,23
BEL;8012;18;7916;19;6915;14;799;31;818;18;9058;37;UE Balkans;Belgique;Belgium;Bélgica;Bélgica ;??????;?????;2025;16;-2;8149;-1,37
TTO;7971;19;7148;28;6997;12;7864;32;8412;11;9434;9;Amériques;Trinité-et-Tobago;Trinidad and Tobago;Trinidad y Tobago;Trinidad e Tobago ;???????? ???????;????? ? ??????;2025;25;6;7669;3,02
GBR;7889;20;8154;16;6843;16;756;40;7846;31;9042;39;UE Balkans;Royaume-Uni;United Kingdom;Reino Unido;Reino Unido;??????? ???????;????????;2025;23;3;7751;1,38
CAN;7875;21;8297;14;6327;24;8173;22;7811;33;8766;55;Amériques;Canada;Canada;Canadá;Canadá ;????;??????;2025;14;-7;817;-2,95
AUT;7812;22;7259;24;6473;23;8197;20;7877;30;9255;19;UE Balkans;Autriche;Austria;Austria;Áustria ;??????;?????;2025;32;10;7469;3,43
